"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5003","fromCheckoutOverviewPage","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.AllItemTest","Functional Tests","swagLabs.AllItemTest","fromCheckoutOverviewPage"
"","2559","buttonVariationProductPage","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.AddToCartTest","SwagLabs","swagLabs.AddToCartTest","buttonVariationProductPage"
"","7720","facebook","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.FooterTest","SwagLabs","swagLabs.FooterTest","facebook"
"","0","takeScreenShotOnFailure","Swag Labs Test Suite","2025-05-22","broken","2025-05-22","swagLabs.LogoutTest","Functional Tests","swagLabs.LogoutTest","takeScreenShotOnFailure"
"","5812","fromCheckoutCompletePage","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.AllItemTest","Functional Tests","swagLabs.AllItemTest","fromCheckoutCompletePage"
"","3023","fromHomePage","Default Suite","2023-12-01","passed","2023-12-01","swagLabs.AddToCartTest","Swag Labs","swagLabs.AddToCartTest","fromHomePage"
"","4901","image","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.HomeTest","Functional Tests","swagLabs.HomeTest","image"
"","6017","pageOpeningWithProductAdded","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.OverviewTest","SwagLabs","swagLabs.OverviewTest","pageOpeningWithProductAdded"
"","3408","accountStability","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.LogoutTest","SwagLabs","swagLabs.LogoutTest","accountStability"
"","7440","linkedIn","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.FooterTest","Functional Tests","swagLabs.FooterTest","linkedIn"
"","2450","invalidCredentials","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","SwagLabs","swagLabs.LoginTest","invalidCredentials"
"","2689","fromHomePage","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.AllItemTest","Functional Tests","swagLabs.AllItemTest","fromHomePage"
"","0","tearDown","Default Suite","2023-12-30","broken","2023-12-30","swagLabs.CheckoutTest","Swag Labs","swagLabs.CheckoutTest","tearDown"
"","4555","cancel","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.CheckoutTest","SwagLabs","swagLabs.CheckoutTest","cancel"
"","5296","cancel","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.OverviewTest","Functional Tests","swagLabs.OverviewTest","cancel"
"","9983","closeBrowser","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","SwagLabs","swagLabs.LoginTest","closeBrowser"
"","2791","basketIconVariation","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.AddToCartTest","Functional Tests","swagLabs.AddToCartTest","basketIconVariation"
"","2862","productsImage","Default Suite","2026-01-21","failed","2026-01-21","swagLabs.ProductDisplayTest","SwagLabs","swagLabs.ProductDisplayTest","productsImage"
"","2542","keyBoardActions","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","SwagLabs","swagLabs.LoginTest","keyBoardActions"
"","3308","onlyLastName","Default Suite","2026-01-21","failed","2026-01-21","swagLabs.CheckoutTest","SwagLabs","swagLabs.CheckoutTest","onlyLastName"
"","4467","image","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.HomeTest","SwagLabs","swagLabs.HomeTest","image"
"","14279","removeProductPage","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.AddToCartTest","Functional Tests","swagLabs.AddToCartTest","removeProductPage"
"","3374","immediatelyLogInAndOut","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.LogoutTest","SwagLabs","swagLabs.LogoutTest","immediatelyLogInAndOut"
"","3074","basketIconVariationProductPage","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.AddToCartTest","Functional Tests","swagLabs.AddToCartTest","basketIconVariationProductPage"
"","6126","productDisplay","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.OverviewTest","SwagLabs","swagLabs.OverviewTest","productDisplay"
"","0","takeScreenShotOnFailure","Swag Labs Test Suite","2025-12-12","broken","2025-12-12","swagLabs.CheckoutTest","Functional Tests","swagLabs.CheckoutTest","takeScreenShotOnFailure"
"","2290","buttonVariation","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.AddToCartTest","SwagLabs","swagLabs.AddToCartTest","buttonVariation"
"","2681","passwordInDotted","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","SwagLabs","swagLabs.LoginTest","passwordInDotted"
"","1861","productsPrice","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.ProductDisplayTest","SwagLabs","swagLabs.ProductDisplayTest","productsPrice"
"","2003","keyBoardActions","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","Functional Tests","swagLabs.LoginTest","keyBoardActions"
"","1930","productsTitle$1","Default Suite","2023-11-18","passed","2023-11-18","swagLabs.ProductDisplayTest","Swag Labs","swagLabs.ProductDisplayTest","productsTitle$1"
"","1973","menuBarClosureFromHomePage","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.AllItemTest","SwagLabs","swagLabs.AllItemTest","menuBarClosureFromHomePage"
"","1553","placeholder","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","Functional Tests","swagLabs.LoginTest","placeholder"
"","4132","numbersAndSignsInPostalCode","Default Suite","2026-01-21","failed","2026-01-21","swagLabs.CheckoutTest","SwagLabs","swagLabs.CheckoutTest","numbersAndSignsInPostalCode"
"","4103","fromYourCartPage","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.AllItemTest","Functional Tests","swagLabs.AllItemTest","fromYourCartPage"
"","0","tearDown","Default Suite","2023-12-01","broken","2023-12-01","swagLabs.AddToCartTest","Swag Labs","swagLabs.AddToCartTest","tearDown"
"","23615","totalPriceMultipleItems","Default Suite","2026-01-21","broken","2026-01-21","swagLabs.OverviewTest","SwagLabs","swagLabs.OverviewTest","totalPriceMultipleItems"
"","3297","pageOpeningWithProductAdded","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.CheckoutTest","Functional Tests","swagLabs.CheckoutTest","pageOpeningWithProductAdded"
"","4330","onlyPostalCode","Swag Labs Test Suite","2026-01-21","failed","2026-01-21","swagLabs.CheckoutTest","Functional Tests","swagLabs.CheckoutTest","onlyPostalCode"
"","2051","passwordInUppercase","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","Functional Tests","swagLabs.LoginTest","passwordInUppercase"
"","2978","price","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.HomeTest","Functional Tests","swagLabs.HomeTest","price"
"","4817","onlyLastName","Swag Labs Test Suite","2026-01-21","failed","2026-01-21","swagLabs.CheckoutTest","Functional Tests","swagLabs.CheckoutTest","onlyLastName"
"","4434","finishMultipleProducts","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.OverviewTest","Functional Tests","swagLabs.OverviewTest","finishMultipleProducts"
"","4003","amountOfProductPriceAndTotalPrice","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.OverviewTest","Functional Tests","swagLabs.OverviewTest","amountOfProductPriceAndTotalPrice"
"","3910","pageOpeningWithProductAdded","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.CheckoutTest","SwagLabs","swagLabs.CheckoutTest","pageOpeningWithProductAdded"
"","34960","menuBarClosureFromCheckoutPage","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.AllItemTest","SwagLabs","swagLabs.AllItemTest","menuBarClosureFromCheckoutPage"
"","3776","checkoutBtn","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.YourCartTest","SwagLabs","swagLabs.YourCartTest","checkoutBtn"
"","3862","fillingReqFields","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.CheckoutTest","SwagLabs","swagLabs.CheckoutTest","fillingReqFields"
"","1803","productsTitle$2","Default Suite","2023-11-18","passed","2023-11-18","swagLabs.ProductDisplayTest","Swag Labs","swagLabs.ProductDisplayTest","productsTitle$2"
"","1920","validCredentials","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","SwagLabs","swagLabs.LoginTest","validCredentials"
"","13744","removeProductPage","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.AddToCartTest","SwagLabs","swagLabs.AddToCartTest","removeProductPage"
"","3295","withoutUsername","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","SwagLabs","swagLabs.LoginTest","withoutUsername"
"","1958","productsImage2","Default Suite","2023-11-28","passed","2023-11-28","swagLabs.ProductDisplayTest","Swag Labs","swagLabs.ProductDisplayTest","productsImage2"
"","0","takeScreenShotOnFailure","Swag Labs Test Suite","2025-12-12","broken","2025-12-12","swagLabs.FooterTest","Functional Tests","swagLabs.FooterTest","takeScreenShotOnFailure"
"","23443","menuAbout","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.MenuBarTest","SwagLabs","swagLabs.MenuBarTest","menuAbout"
